Hình ảnh 1;Thương hiệu;Tên sản phẩm;Giá
https://i.ibb.co/pjNQ2sz/image.png;Samsung;Galaxy Z Fold 3;41990000
https://i.ibb.co/gRMXWJD/image.png;Samsung;Galaxy Z Flip 5;16990000
https://i.ibb.co/HT4x356/image.png;Samsung;Galaxy Z Flip 4;9990000
https://i.ibb.co/9WLnNws/image.png;Samsung;Galaxy Z Flip 3;8000000
https://i.ibb.co/7vmngyk/image.png;Samsung;Galaxy A55 5G;9690000
https://i.ibb.co/jTV4f7G/image.png;Samsung;Galaxy A54 5G;7790000
https://i.ibb.co/kc0whfj/image.png;Samsung;Galaxy A35 5G;7990000
https://i.ibb.co/2hH0sXD/image.png;Samsung;Galaxy A34 5G;5539000
https://i.ibb.co/bv7cVV4/image.png;Samsung;Galaxy M54 5G;7790000
https://i.ibb.co/RBD0DH7/image.png;Samsung;Galaxy M55 5G;14900000
https://i.ibb.co/n3QfQwR/image.png;Samsung;Galaxy F55 5G;10500000
https://i.ibb.co/DL7yVv8/image.png;Samsung;Galaxy M62;8250000
https://i.ibb.co/XD80DMP/image.png;Sony;Sony Xperia 1;3590000
https://i.ibb.co/MNVWWW2/image.png;Sony;Sony Xperia 1 Mark II;4590000
https://i.ibb.co/cYM71mv/image.png;Sony;Sony Xperia 1 Mark III;7990000
https://i.ibb.co/Tbh6680/image.png;Sony;Sony Xperia 1 Mark IV;19950000
https://i.ibb.co/c2ydQfV/image.png;Sony;Sony Xperia 1 V;23950000
https://i.ibb.co/P1ZfJ5n/image.png;Sony;Sony Xperia 5;4290000
https://i.ibb.co/WndF4Bz/image.png;Sony;Sony Xperia 5 Mark I;3190000
https://i.ibb.co/P97nqB9/image.png;Sony;Sony Xperia 5 Mark II;4190000
https://i.ibb.co/brsR3JL/image.png;Sony;Sony Xperia 5 Mark III;7890000
https://i.ibb.co/pPYKWHy/image.png;LG;LG V50 ThinQ 5G;3190000
https://i.ibb.co/nz4Jmbn/image.png;LG;LG V50S ThinQ 5G;3790000
https://i.ibb.co/RTRVTFM/image.png;LG;LG G8 ThinQ;2890000
https://i.ibb.co/nD6C7bB/image.png;LG;LG V40 ThinQ;2890000
https://i.ibb.co/JrJ321j/image.png;LG;LG Velvet 5G;3490000
https://i.ibb.co/TBHdm28/image.png;LG;LG V60 ThinQ 5G;3490000
https://i.ibb.co/VCnjp3P/image.png;Google;Google Pixel 8;13450000
https://i.ibb.co/FWJdyjp/image.png;Google;Google Pixel 8 Pro;18900000
https://i.ibb.co/xMcJ33c/image.png;Google;Google Pixel Fold;33890000
https://i.ibb.co/yhPXBZL/image.png;Google;Google Pixel 7;7490000
https://i.ibb.co/m0FGYD8/image.png;Google;Google Pixel 7A;9290000
https://i.ibb.co/fQyB0sR/image.png;Google;Google Pixel 7 Pro;7490000
https://i.ibb.co/HX9D95J/image.png;Google;Google Pixel 6;6290000
https://i.ibb.co/BCtc7QN/image.png;Google;Google Pixel 6A;5290000
https://i.ibb.co/PrGg0JT/image.png;Google;Google Pixel 6 Pro;7290000
